Delta,alphaBPPFix,powerwPPFix,powerwo,powerwo_alphaBPPFix,powerPPFixdiff
-0.7,0.00436230688784805,0.684392875206786,0.781906688828427,0.999999047442228,-0.315606172235441
-0.4,0.00832173960186051,0.761604391317752,0.781906688828427,0.999999047442228,-0.238394656124476
-0.1,0.0156905526899978,0.827139694764007,0.781906688828427,0.999999047442228,-0.172859352678221
0.2,0.0270695878372972,0.881582682647409,0.781906688828427,0.999999047442228,-0.118416364794819
0.5,0.0460360888902396,0.921372418623662,0.781906688828427,0.999999047442228,-0.0786266288185653
0.8,0.072318978553545,0.950094242995524,0.781906688828427,0.999999047442228,-0.0499048044467036
1.1,0.111609316303619,0.969749815764489,0.781906688828427,0.999999047442228,-0.0302492316777389
1.4,0.160492458935454,0.982502088494459,0.781906688828427,0.999999047442228,-0.0174969589477687
1.7,0.226059197760846,0.990345577667607,0.781906688828427,0.999999047442228,-0.00965346977462078
2,0.299298897273455,0.99491890000913,0.781906688828427,0.999999047442228,-0.00508014743309804
2.3,0.387458147046374,0.997446546388497,0.781906688828427,0.999999047442228,-0.00255250105373073
2.6,0.47586408684463,0.998770451033735,0.781906688828427,0.999999047442228,-0.00122859640849271
2.9,0.565470786568083,0.99944347383906,0.781906688828427,0.999999047442228,-0.000555573603167492
3.2,0.657351682757208,0.999742980466654,0.781906688828427,0.999999047442228,-0.000256066975573677
3.5,0.735843376045179,0.999875491560832,0.781906688828427,0.999999047442228,-0.000123555881395787
3.8,0.808094793193106,0.999930686277152,0.781906688828427,0.999999047442228,-6.83611650761362e-05
4.1,0.863488242169686,0.999952217314236,0.781906688828427,0.999999047442228,-4.68301279917815e-05
4.4,0.909266868754531,0.999960029754545,0.781906688828427,0.999999047442228,-3.90176876824411e-05
4.7,0.940759751696255,0.999962642771457,0.781906688828427,0.999999047442228,-3.64046707704846e-05
5,0.964127263510034,0.999963439793184,0.781906688828427,0.999999047442228,-3.56076490436452e-05
5.3,0.978547033784394,0.999963657912355,0.781906688828427,0.999999047442228,-3.5389529872365e-05
