Delta,alphaBEB,powerwEB,powerwo,powerwo_alphaBEB,powerEBdiff
-0.7,0.017583657597401,0.721458826341308,0.781906688828427,0.897526901774178,-0.17606807543287
-0.6,0.0171963807699713,0.726733864518278,0.781906688828427,0.897526901774178,-0.170793037255899
-0.5,0.0167090395511028,0.740739414457433,0.781906688828427,0.897526901774178,-0.156787487316745
-0.4,0.0160883942015574,0.763901583991922,0.781906688828427,0.897526901774178,-0.133625317782256
-0.3,0.015660787380374,0.793436421698762,0.781906688828427,0.897526901774178,-0.104090480075416
-0.2,0.0156938762382041,0.824825229417629,0.781906688828427,0.897526901774178,-0.0727016723565485
-0.0999999999999999,0.0166519246821389,0.853619457930585,0.781906688828427,0.897526901774178,-0.0439074438435925
1.11022302462516e-16,0.0195215356582211,0.876187629161202,0.781906688828427,0.897526901774178,-0.0213392726129753
0.1,0.0243159146376689,0.889893084914041,0.781906688828427,0.897526901774178,-0.00763381686013653
0.2,0.0314407250213967,0.893489816725758,0.781906688828427,0.897526901774178,-0.00403708504841993
0.3,0.0406375645574034,0.888957420867427,0.781906688828427,0.897526901774178,-0.00856948090675103
0.4,0.0521883017358494,0.879592085480214,0.781906688828427,0.897526901774178,-0.017934816293964
0.5,0.0618979756111065,0.868921136713603,0.781906688828427,0.897526901774178,-0.0286057650605747
0.6,0.0684178898771715,0.858905945895568,0.781906688828427,0.897526901774178,-0.0386209558786094
0.7,0.0706417991999417,0.850283184826733,0.781906688828427,0.897526901774178,-0.0472437169474449
0.8,0.0667632768406369,0.843077752158157,0.781906688828427,0.897526901774178,-0.0544491496160204
0.9,0.0606644180024415,0.837061429204647,0.781906688828427,0.897526901774178,-0.0604654725695303
1,0.0540691480722591,0.832093594621861,0.781906688828427,0.897526901774178,-0.0654333071523167
1.1,0.0488534227826136,0.827907161703215,0.781906688828427,0.897526901774178,-0.0696197400709631
1.2,0.0449386220422096,0.824341324569367,0.781906688828427,0.897526901774178,-0.0731855772048108
1.3,0.041819811669363,0.821260731025623,0.781906688828427,0.897526901774178,-0.0762661707485541
